Course Title,Subject,Enrollments,Completion Rate,Region,Date
Decide security billion.,Technology,1306,53.85,North America,2018-11-21
Street.,Business,8547,62.34,South America,2020-10-26
Eight page.,Technology,2823,95.18,Australia,2018-07-26
Popular discover.,Business,7980,60.35,Europe,2023-07-31
Entire position.,Business,1386,85.58,Africa,2018-03-12
Officer laugh.,Technology,6989,84.33,Asia,2020-07-24
Official top whatever.,Arts,9138,92.24,North America,2022-05-24
Itself important drop.,Technology,4143,74.57,Africa,2023-02-17
Common manager draw.,Arts,8896,66.48,North America,2020-11-21
Continue strong explain.,Arts,2584,69.28,Asia,2019-09-17
Project.,Business,1298,58.38,North America,2022-06-27
Evening modern science.,Arts,8553,96.51,South America,2018-08-07
Stuff instead also.,Arts,783,63.53,North America,2020-09-15
Else view.,Technology,5972,58.41,South America,2018-04-16
Mention machine.,Business,7782,79.32,Africa,2022-11-13
Management country.,Arts,7283,91.05,Europe,2022-09-17
Fall end.,Business,808,50.28,Europe,2019-09-20
Address require.,Technology,6611,97.73,Africa,2018-07-12
Eight society.,Business,5232,71.22,Africa,2019-01-29
Perhaps lay.,Arts,2484,54.08,North America,2020-07-28
Garden.,Business,6399,51.5,Europe,2022-09-25
Arm away president.,Arts,6917,69.49,Asia,2018-11-07
Pm particularly source.,Technology,4441,52.43,Europe,2018-01-03
Make price alone.,Technology,5853,58.03,North America,2020-03-02
Sing morning.,Technology,4357,90.87,Europe,2021-02-21
Civil score.,Arts,6033,77.63,North America,2021-03-04
Major.,Technology,5130,91.51,Asia,2023-05-12
Answer start.,Arts,7936,52.91,Africa,2019-05-04
Affect quickly performance.,Arts,5724,67.01,Asia,2021-08-29
Consumer commercial minute.,Technology,2357,83.85,Africa,2021-07-21
Prepare note outside career.,Technology,3150,75.86,North America,2023-09-10
Better current.,Arts,3909,50.3,Australia,2020-06-22
Rich maybe.,Arts,6580,67.99,South America,2020-04-26
Along a keep.,Technology,2620,72.72,North America,2019-06-17
Role.,Technology,3641,85.28,Asia,2019-06-03
Drive analysis another ago.,Technology,6718,60.58,North America,2020-03-29
Entire coach ground.,Technology,751,83.63,South America,2021-11-29
Standard.,Business,1257,99.15,Australia,2023-11-17
Reduce interest sing.,Arts,4835,79.59,South America,2018-07-29
Out glass better.,Technology,8316,65.67,South America,2023-02-26
Minute so.,Technology,1802,96.38,South America,2020-04-08
Result house million company.,Technology,7788,78.44,Europe,2019-03-25
Assume apply.,Arts,6398,81.34,North America,2022-08-16
Challenge return.,Business,2029,50.57,Africa,2022-09-20
Federal for.,Arts,8933,80.08,North America,2023-11-04
Whatever deal none.,Business,4274,80.94,North America,2019-04-01
Able detail.,Business,5877,75.35,Australia,2022-03-14
Animal.,Technology,9544,84.63,Europe,2023-01-18
Amount view shoulder.,Arts,4833,57.72,North America,2021-09-05
Away ever catch get.,Technology,604,52.41,Africa,2020-03-03
Sport piece movement.,Business,5104,94.56,Africa,2023-03-13
Blood different close easy.,Business,9156,60.28,Australia,2019-04-12
Different PM.,Business,6975,96.0,Africa,2021-11-27
Participant difference.,Technology,6632,88.66,North America,2022-07-23
Under present.,Business,4765,90.91,South America,2020-02-16
Feeling bank.,Technology,2930,53.01,Australia,2023-05-26
Event tax word.,Technology,8914,55.41,Europe,2023-04-03
Old particularly.,Business,4737,64.58,Australia,2020-11-17
Hotel receive.,Technology,4581,52.57,Europe,2019-05-22
Machine girl.,Business,609,64.84,South America,2022-09-02
Situation enter international.,Technology,7951,56.45,North America,2022-05-11
Sort clearly.,Business,2275,95.99,Asia,2018-07-04
Building drug argue recently.,Technology,911,63.29,South America,2019-10-24
Experience positive.,Business,9974,62.14,Africa,2020-07-30
Anything environment ready.,Business,3206,63.75,Europe,2019-08-13
Chair result somebody.,Arts,2851,80.4,Africa,2020-12-10
Occur.,Business,8737,68.56,Australia,2018-08-24
Middle red time.,Business,8337,84.3,Europe,2021-08-08
Capital.,Business,7045,69.85,Africa,2018-12-04
North ready.,Technology,5717,86.69,South America,2022-08-30
Record low future.,Technology,9989,89.15,Africa,2023-06-10
I sport.,Technology,4570,69.44,North America,2019-09-21
Move charge.,Technology,6006,55.57,Australia,2023-03-04
Organization see fund.,Business,769,50.38,Europe,2022-03-11
Bring feel.,Arts,8832,71.68,Africa,2020-11-17
Imagine research.,Business,9812,65.8,Australia,2018-10-31
Card ability recently.,Arts,7787,71.18,Africa,2019-03-19
